"","reaction_type","sampleID","starting_quantity","cpD1","cpD2"
"1","all_products","gblock+IRE_plus18IRE","50.00","7.40","3.26"
"2","all_products","gblock+IRE_plus18IRE","50.00","7.91","3.77"
"3","all_products","gblock+IRE_plus18IRE","50.00","8.16","4.02"
"4","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","8.90","4.97"
"5","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","14.85","13.70"
"6","all_products","gblock_minusIRE_onlyExonnoIRE","50.00","14.93","13.59"
"7","all_products","gblock+IRE_plus18IRE","0.10","14.03","11.63"
"8","all_products","gblock+IRE_plus18IRE","0.10","13.84","11.57"
"9","all_products","gblock+IRE_plus18IRE","0.10","14.93","12.72"
"10","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","14.15","12.11"
"11","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","11.30"," 8.62"
"12","all_products","gblock_minusIRE_onlyExonnoIRE","0.10","12.57","10.35"
"13","all_products","gblock+IRE_plus18IRE","10.00","8.73","5.66"
"14","all_products","gblock+IRE_plus18IRE","10.00","8.68","5.59"
"15","all_products","gblock+IRE_plus18IRE","10.00","8.64","5.35"
"16","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","7.91","4.37"
"17","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","8.28","5.07"
"18","all_products","gblock_minusIRE_onlyExonnoIRE","10.00","8.44","5.15"
"19","all_products","gblock+IRE_plus18IRE","0.05","15.39","13.13"
"20","all_products","gblock+IRE_plus18IRE","0.05","14.90","12.59"
"21","all_products","gblock+IRE_plus18IRE","0.05","16.48","14.55"
"22","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","15.11","12.85"
"23","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","12.93","10.27"
"24","all_products","gblock_minusIRE_onlyExonnoIRE","0.05","13.68","11.14"
"25","all_products","gblock+IRE_plus18IRE","5.00","10.07"," 6.40"
"26","all_products","gblock+IRE_plus18IRE","5.00","10.39"," 6.77"
"27","all_products","gblock+IRE_plus18IRE","5.00","8.98","5.09"
"28","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","8.59","4.64"
"29","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","9.74","6.02"
"30","all_products","gblock_minusIRE_onlyExonnoIRE","5.00","8.59","4.74"
"31","all_products","gblock+IRE_plus18IRE","0.01","17.78","16.23"
"32","all_products","gblock+IRE_plus18IRE","0.01","15.93","13.10"
"33","all_products","gblock+IRE_plus18IRE","0.01","19.31","18.12"
"34","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","17.74","16.05"
"35","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","16.14","13.81"
"36","all_products","gblock_minusIRE_onlyExonnoIRE","0.01","16.84","14.88"
"37","all_products","gblock+IRE_plus18IRE","1.00","12.04"," 9.64"
"38","all_products","gblock+IRE_plus18IRE","1.00","11.98"," 9.55"
"39","all_products","gblock+IRE_plus18IRE","1.00","11.24"," 8.59"
"40","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","10.65"," 7.91"
"41","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","10.13"," 7.33"
"42","all_products","gblock_minusIRE_onlyExonnoIRE","1.00","9.68","6.80"
"43","all_products","gblock+IRE_plus18IRE","0.005 ","19.49","18.56"
"44","all_products","gblock+IRE_plus18IRE","0.005 ","17.56","15.38"
"45","all_products","gblock+IRE_plus18IRE","0.005 ","20.09","18.89"
"46","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","18.78","17.43"
"47","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","17.17","14.74"
"48","all_products","gblock_minusIRE_onlyExonnoIRE","0.005 ","18.5","17.1"
"49","all_products","gblock+IRE_plus18IRE","0.50","13.21","11.15"
"50","all_products","gblock+IRE_plus18IRE","0.50","12.98","10.87"
"51","all_products","gblock+IRE_plus18IRE","0.50","12.36","10.00"
"52","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","12.20"," 9.84"
"53","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","12.42"," 9.99"
"54","all_products","gblock_minusIRE_onlyExonnoIRE","0.50","10.28"," 7.52"
"55","test1","gblock+IRE_plus18IRE","50.000","8.66","4.83"
"56","test1","gblock+IRE_plus18IRE","50.000","10.25"," 6.54"
"57","test1","gblock+IRE_plus18IRE","50.000","9.25","5.37"
"58","test1","gblock+IRE_plus18IRE","0.100","11.15"," 8.35"
"59","test1","gblock+IRE_plus18IRE","0.100","11.19"," 8.41"
"60","test1","gblock+IRE_plus18IRE","0.100","11.90"," 9.33"
"61","test1","gblock+IRE_plus18IRE","10.000","7.76","4.38"
"62","test1","gblock+IRE_plus18IRE","10.000","7.67","4.13"
"63","test1","gblock+IRE_plus18IRE","10.000","8.08","4.74"
"64","test1","gblock+IRE_plus18IRE","0.050","12.54","10.04"
"65","test1","gblock+IRE_plus18IRE","0.050","11.13"," 8.21"
"66","test1","gblock+IRE_plus18IRE","0.050","12.93","10.67"
"67","test1","gblock+IRE_plus18IRE","5.000","8.68","4.72"
"68","test1","gblock+IRE_plus18IRE","5.000","9.7","6.0"
"69","test1","gblock+IRE_plus18IRE","5.000","9.80","5.96"
"70","test1","gblock+IRE_plus18IRE","0.010","13.78","11.29"
"71","test1","gblock+IRE_plus18IRE","0.010","12.58"," 9.98"
"72","test1","gblock+IRE_plus18IRE","0.010","14.74","12.26"
"73","test1","gblock+IRE_plus18IRE","1.000","10.33"," 7.50"
"74","test1","gblock+IRE_plus18IRE","1.000","10.78"," 8.13"
"75","test1","gblock+IRE_plus18IRE","1.000","10.07"," 7.10"
"76","test1","gblock+IRE_plus18IRE","0.005","12.07"," 9.13"
"77","test1","gblock+IRE_plus18IRE","0.005","13.09","10.85"
"78","test1","gblock+IRE_plus18IRE","0.005","16.54","14.47"
"79","test1","gblock+IRE_plus18IRE","0.500","10.85"," 8.10"
"80","test1","gblock+IRE_plus18IRE","0.500","11.12"," 8.54"
"81","test1","gblock+IRE_plus18IRE","0.500","11.12"," 8.55"
